geo;TIME_PERIOD;OBS_VALUE;DATAFLOW;LAST UPDATE;freq;unit;tra_meas;schedule;tra_cov;OBS_FLAG
AT;2011;219448;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2012;197543;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2013;196459;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2014;217785;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2015;216621;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2016;223421.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2017;227642.8;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2018;237700.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2019;228223.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2020;165013.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
AT;2021;194820.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2011;984362.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2012;963614.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2013;957012.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2014;1014585.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2015;1126234.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2016;1088734;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2017;1251173;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2018;1416428;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2019;1397513;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2020;1584640;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BE;2021;2083632;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2011;21879.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2012;18529.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2013;19574.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2014;23072.8;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2015;31520;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2016;32976.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2017;34806.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2018;29867.3;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2019;28748.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2020;25844;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
BG;2021;25686;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2011;390335.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2012;398715.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2013;400028.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2014;407703.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2015;401924.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2016;428495.5;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2017;486164.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2018;493201.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2019;459877;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2020;272379.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CH;2021;341402.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2011;29480.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2012;27581;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2013;28327.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2014;28095;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2015;27626.2;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2016;28430;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2017;30880.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2018;32186.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2019;32360.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2020;24006.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CY;2021;25149.5;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2011;69206;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2012;58707;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2013;58147;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2014;58312;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2015;58445;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2016;77704;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2017;89278.5;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2018;90525.8;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2019;97247.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2020;71095.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
CZ;2021;92726.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2011;4309649.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2012;4218146.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2013;4231473.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2014;4336163;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2015;4325665;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2016;4467022;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2017;4773359;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2018;4842716;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2019;4684570.8;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2020;4497805.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DE;2021;5289724;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2011;155662.3;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2012;166283;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2013;148980;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2014;208590;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2015;210570;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2016;200133;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2017;235937;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2018;242068;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2019;244997;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2020;181967;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
DK;2021;246912;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2011;18341;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2012;23760;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2013;20862;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2014;19432;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2015;16034;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2016;13868;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2017;11232.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2018;11474.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2019;10865.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2020;9131.7;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EE;2021;10533.1;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EL;2011;81354.5;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EL;2012;72191.6;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EL;2013;67262.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EL;2014;60324.4;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
EL;2015;62331.9;ESTAT:TTR00011(1.0);13.02.2023 23:00;A;T;FRM_LD_NLD;TOT;TOTAL;
